id,name
1,Amenajare spatii verzi
2,Croitor
3,Curatenie interior
4,Designer exterior
5,Designer interior
6,Electrician
7,Faiantar
8,Intalator apa
9,Instalator gaz
10,Macelar
11,Mecanic auto
12,Meditator
13,Montator mobila
14,Montator garduri
15,Reparatii TV
16,Reparatii calculatoare
17,Tamplar
18,Geamgiu
